original_language,original_title,popularity,release_date,runtime,title,vote_average,vote_count,price
en,The Taming of the Shrew,0.329193,23/10/1980,126,The Taming of the Shrew,10,1,9.99
en,The Bride Came C.O.D.,4.725522,12/07/1941,92,The Bride Came C.O.D.,7.8,8,7.99
en,A Band Called Death,2.690008,27/06/2013,96,A Band Called Death,7.1,36,6.99
en,Justice League: Doom,5.803594,28/02/2012,77,Justice League: Doom,7.1,197,6.99
en,Going to Pieces: The Rise and Fall of the Slasher Film,7.429735,13/10/2006,88,Going to Pieces: The Rise and Fall of the Slasher Film,7.6,26,7.99
en,Hungry for Change,1.486697,01/01/2012,89,Hungry for Change,7.2,19,6.99
en,The Great Gatsby,17.598936,10/05/2013,143,The Great Gatsby,7.3,3885,6.99
en,Star Trek Into Darkness,15.78129,05/05/2013,132,Star Trek Into Darkness,7.4,4479,6.99
en,Spine Tingler! The William Castle Story,0.116412,08/11/2007,82,Spine Tingler! The William Castle Story,8,2,7.99
en,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,0.7984,19/07/2000,288,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,9.5,10,9.99
en,Privilege,0.330594,24/07/1967,103,Privilege,7.3,8,6.99
en,Last Days Here,0.570293,29/04/2011,91,Last Days Here,7.5,11,7.99
en,Now You See Me,17.852022,29/05/2013,115,Now You See Me,7.3,5635,6.99
en,The Way Way Back,10.342737,06/06/2013,103,The Way Way Back,7.1,695,6.99
en,Much Ado About Nothing,5.455903,08/09/2012,107,Much Ado About Nothing,7.1,117,6.99
en,Birders: The Central Park Effect,0.166566,16/07/2012,61,Birders: The Central Park Effect,8,2,7.99
en,AM1200,0.523995,03/10/2008,39,AM1200,7.2,5,6.99
en,La migliore offerta,8.995603,01/01/2013,124,The Best Offer,7.7,719,7.99
en,Dirty Wars,6.413287,18/01/2013,87,Dirty Wars,7.1,58,6.99
en,Sign 'o' the Times,0.002001,20/11/1987,84,Sign 'o' the Times,7.3,8,6.99
en,What Maisie Knew,8.535611,02/05/2013,93,What Maisie Knew,7.4,149,6.99
en,Woody Allen: A Documentary,2.945649,20/11/2011,192,Woody Allen: A Documentary,7.5,56,7.99
en,Food Matters,3.292247,08/10/2010,74,Food Matters,7.2,24,6.99
en,Stuck in Love,6.715938,09/09/2012,97,Stuck in Love,7.3,657,6.99
en,Fruitvale Station,13.305596,25/07/2013,85,Fruitvale Station,7.3,397,6.99
en,Justice League: The Flashpoint Paradox,9.527559,28/07/2013,75,Justice League: The Flashpoint Paradox,7.3,458,6.99
en,The Conjuring,14.90169,18/07/2013,112,The Conjuring,7.4,3169,6.99
en,Gasland Part II,0.405805,20/04/2013,125,Gasland Part II,7.5,11,7.99
en,The Crash Reel,2.212038,10/06/2013,108,The Crash Reel,8,31,7.99
en,Always Outnumbered,0.86635,21/03/1998,104,Always Outnumbered,7.2,5,6.99
en,My Little Pony: Equestria Girls,8.353231,15/06/2013,72,My Little Pony: Equestria Girls,7.1,41,6.99
en,Miss You Can Do It,0.259069,24/06/2013,75,Miss You Can Do It,8.5,1,7.99
en,From One Second to the Next,0.466299,07/08/2013,34,From One Second to the Next,7.4,10,6.99
en,Blackfish,5.495138,07/06/2013,83,Blackfish,7.9,456,7.99
en,Moving the Mountain,0.146446,15/09/1994,83,Moving the Mountain,8.5,1,7.99
en,Four Horsemen,0.394626,14/03/2012,97,Four Horsemen,7.2,10,6.99
en,The Butler,11.061894,16/08/2013,132,The Butler,7.2,1134,6.99
en,About Time,11.213913,16/08/2013,123,About Time,7.8,2140,7.99
